county_fips,total_population,adult_pop_45plus
22075,22386,9044
22077,20000,9716
22079,126260,52454
22081,7356,3389
22083,19712,8436
22085,21906,10129
22087,44463,16571
22089,50620,21577
22091,10774,5007
22093,19191,8807
22095,39592,16776
22097,81464,33206
22099,51057,22113
22101,47055,21162
22103,275583,122564
22105,138064,53009
22107,3764,2032
22109,103616,42842
22111,20650,10212
22113,56992,23713
22115,46250,15628
22117,44865,19639
22119,35238,16304
22121,28266,11049
22123,9323,4422
22125,15371,7156
22127,13216,5878
23001,113765,50764
23003,67351,36295
23005,310230,145003
23007,30828,15501
23009,56526,30898
23011,127259,61729
23013,40977,22644
23015,36507,20907
23017,59905,31995
23019,155312,73262
23021,17486,9978
23023,37513,19569
23025,51302,26885
23027,40620,21522
23029,31555,17105
23031,218586,110061
24001,67273,30918
24003,594582,248787
24005,844703,366861
24009,94728,41730
24011,33593,14803
24013,176639,80062
24015,105672,47448
24017,171973,72094
24019,32879,16316
24021,293391,121116
24023,28423,15183
24025,264644,117699
24027,336001,141953
24029,19303,10284
24031,1058474,466520
24033,947430,398326
24035,52508,26202
24037,115281,45947
24039,24910,10425
24041,37823,21071
24043,155813,69224
24045,104800,41980
24047,54171,30365
24510,565239,215375
25001,231735,142579
25003,126818,67618
25005,581841,262693
25007,20819,11696
25009,810089,366296
25011,70836,37298
25013,460291,201362
25015,162502,68831
25017,1623952,684204
25019,14444,6602
25021,727473,326201
25023,535308,256007
25025,768425,268343
25027,866866,384083
26001,10489,7006
26003,8757,4738
26005,121939,54822
26007,28904,15061
26009,24409,13904
26011,15145,8315
26013,8310,4195
26015,63808,30036
26017,102500,49956
26019,18441,10332
26021,152261,72623
26023,45215,20371
26025,133366,58743
26027,51642,26012
26029,26159,14510
26031,26048,15037
26033,36264,16109
26035,31316,16853
26037,79720,36650
26039,13538,7609
26041,36790,19545
26043,25982,13251
26045,108820,50053
26047,34123,17875
26049,401522,180931
26051,25853,14388
26053,14224,8158
26055,96421,46590
26057,41368,17506
26059,45587,21711
26061,37599,14222
26063,30927,16848
26065,284637,101693
26067,66262,28028
26069,25373,14857
26071,11740,6942
26073,64118,21942
26075,159424,72596
26077,262215,99604
26079,18490,9215
26081,661354,252471
26083,2172,1343
26085,12734,7355
26087,88977,44133
26089,23019,13968
26091,97520,45971
26093,196757,96657
26095,6435,3160
26097,10851,6439
26099,875101,398968
26101,25562,13990
26103,66999,28828
26105,29159,15341
26107,41099,18705
26109,22945,12818
26111,84039,39062
26113,15311,7372
26115,155045,73922
26117,68154,30497
26119,9678,6051
26121,176564,77296
26123,51108,24511
26125,1270426,581483
26127,26981,13284
26129,20990,11702
26131,5906,4018
26133,23330,11407
26135,8545,4789
26137,25747,12677
26139,303372,120619
26141,13285,8239
26143,23863,15243
26145,187782,85437
26147,159874,78723
26149,60878,26929
26151,40368,20446
26153,8149,4725
26155,68025,32446
26157,52826,26370
26159,75798,34931
26161,365536,141303
26163,1751169,730577
26165,34122,15837
27001,16102,10234
27003,372441,155193
27005,35283,17015
27007,46718,18231
27009,41600,15955
27011,5105,2632
27013,70006,24052
27015,25628,11864
27017,36825,16614
27019,111057,46632
27021,31446,17213
27023,12172,5437
27025,58535,26237
27027,66258,22946
27029,8644,3927
27031,5639,3300
27033,11319,5199
27035,68304,34798
27037,447440,185621
27039,21088,8721
27041,39953,19632
27043,13873,6766
27045,21522,10076
27047,30515,14810
27049,48035,22640
27051,6139,2910
27053,1258713,500719
27055,18582,9348
27057,22132,11855
27059,43182,18716
27061,45365,23695
27063,9919,4909
27065,16602,8123
27067,43813,19376
27069,4060,2124
27071,11751,6580
27073,6630,3436
27075,10855,5966
27077,3778,2122
27079,29255,13434
27081,5521,2714
27083,25427,10288
27085,36785,17033
27087,5280,2110
27089,8810,4264
27091,19657,9567
27093,23490,11033
27095,27427,12373
27097,34250,16213
27099,40058,16744
27101,8049,4135
27103,34242,13940
27105,21727,8612
27107,6329,3058
27109,164784,66344
27111,60626,31024
27113,13714,6058
27115,30197,15221
27117,9245,4095
27119,30412,13236
27121,11400,5708
27123,536075,204968
27125,3911,1852
27127,15288,6912
27129,14348,6771
27131,67948,27555
27133,9551,4347
27135,15252,7203
27137,200514,91517
27139,155814,62141
27141,102206,39007
27143,15084,6901
27145,160977,62081
27147,37421,16515
27149,9728,3496
27151,9719,4659
27153,25667,12344
27155,3136,1605
27157,21683,10877
27159,14241,6252
27161,18981,8311
27163,278936,120274
27165,11077,4898
27167,6306,2959
27169,49721,20512
27171,151150,59378
27173,9467,4419
28001,28746,13558
28003,34135,15481
28005,12442,6590
28007,17359,7649
28009,7438,3604
28011,28968,11872
28013,12685,6030
28015,9535,5005
28017,16866,7157
28019,8088,3994
28021,8617,3346
28023,15228,7282
28025,18206,8110
28027,20077,7886
28029,27664,12403
28031,18059,7649
28033,193247,76256
28035,78208,27076
28037,7610,3602
28039,25619,9977
28041,13601,5693
28043,21065,9229
28045,46159,23843
28047,210612,88061
28049,214870,86678
28051,15777,6417
28053,7216,3175
28055,1256,476
28057,24093,10299
28059,146389,63914
28061,16013,7464
28063,6941,3140
28065,10969,5581
28067,66250,27846
28069,8584,3988
28071,58467,20282
28073,66217,26471
28075,70527,30880
28077,11741,5324
28079,21258,9180
28081,82799,33716
28083,26378,10093
28085,34702,15440
28087,57283,23518
28089,112511,47313
28091,24224,10676
28093,34123,15572
28095,33609,15568
28097,9600,4585
28099,28789,11392
28101,21019,8822
28103,9914,4197
28105,51203,14749
28107,32669,14039
28109,57978,26317
28111,11315,5173
28113,39394,16504
28115,31535,12516
28117,25135,10504
28119,5546,2454
28121,160417,67870
28123,27507,11148
28125,3336,1599
28127,25715,11591
28129,14099,6529
28131,18756,8209
28133,24468,9619
28135,11837,5068
28137,28261,11960
28139,21287,9197
28141,18507,8833
28143,9234,3451
28145,28284,11779
28147,13863,6462
28149,42298,18871
28151,41946,17904
28153,19703,8469
28155,9988,4354
28157,8058,3620
28159,17416,8135
28161,12386,6014
28163,25796,9631
29001,25122,8727
29003,18127,8451
29005,5107,2668
29007,24394,10898
29009,35265,16946
29011,11731,5392
29013,16242,7371
29015,20552,12304
29017,10544,5168
29019,189463,65204
29021,82956,35195
29023,41948,18466
29025,8955,4160
29027,44731,19736
29029,44044,26034
29031,82984,33768
29033,8391,4067
29035,5303,2491
29037,111732,49345
29039,14672,7042
29041,7399,3631
29043,94422,39326
29045,6641,3223
29047,259772,104646
29049,21548,9943
29051,77278,33538
29053,16947,7555
29055,22719,10831
29057,7716,4017
29059,17768,8253
